"Number of Cells"	"Cells with Lipid"	"WellName"	"% Cells with Lipid"	"chemical"	"chemicalgroup"
12995	4844	"A1"	0.37275875336668	"0.01 BPS-MPE"	"BPS-MPE"
13893	9257	"A10"	0.666306773195134	"0.01  P201"	" P201"
13625	3502	"A11"	0.25702752293578	"MI"	"MI"
14572	5388	"A2"	0.369750205874279	"0.1 BPS-MPE"	"BPS-MPE"
14162	8616	"A3"	0.608388645671515	"1 BPS-MPE"	"BPS-MPE"
19467	13290	"A4"	0.682693789489906	"10 BPS-MPE"	"BPS-MPE"
20445	15960	"A5"	0.780630961115187	"20 BPS-MPE"	"BPS-MPE"
14853	8185	"A6"	0.551067124486636	"20  P201"	" P201"
14551	5007	"A7"	0.344100061851419	"10  P201"	" P201"
14677	4888	"A8"	0.33303808680248	"1  P201"	" P201"
14057	3672	"A9"	0.26122216689194	"0.1  P201"	" P201"
13341	2880	"B1"	0.21587587137396	"0.01 BPS-MPE"	"BPS-MPE"
14570	5664	"B10"	0.388743994509266	"0.01  P201"	" P201"
14520	4657	"B11"	0.320730027548209	"MI"	"MI"
13931	3042	"B2"	0.218361926638432	"0.1 BPS-MPE"	"BPS-MPE"
15208	6518	"B3"	0.42859021567596	"1 BPS-MPE"	"BPS-MPE"
18629	14039	"B4"	0.753609962960975	"10 BPS-MPE"	"BPS-MPE"
20201	15501	"B5"	0.767338250581654	"20 BPS-MPE"	"BPS-MPE"
14620	10234	"B6"	0.7	"20  P201"	" P201"
14677	5879	"B7"	0.400558697281461	"10  P201"	" P201"
14374	4525	"B8"	0.314804508139697	"1  P201"	" P201"
14671	5361	"B9"	0.36541476381978	"0.1  P201"	" P201"
11957	6922	"C1"	0.578907752780798	"0.01 BPS-MPE"	"BPS-MPE"
15709	5419	"C10"	0.344961487045643	"0.01  P201"	" P201"
14999	4781	"C11"	0.318754583638909	"MI"	"MI"
14020	1696	"C2"	0.120970042796006	"0.1 BPS-MPE"	"BPS-MPE"
15371	5647	"C3"	0.367380131416303	"1 BPS-MPE"	"BPS-MPE"
19185	15156	"C4"	0.789992181391712	"10 BPS-MPE"	"BPS-MPE"
19990	15420	"C5"	0.771385692846423	"20 BPS-MPE"	"BPS-MPE"
15236	6763	"C6"	0.443882908899974	"20  P201"	" P201"
14846	6532	"C7"	0.439983834029368	"10  P201"	" P201"
13695	3325	"C8"	0.242789339174881	"1  P201"	" P201"
13547	3204	"C9"	0.236509928397431	"0.1  P201"	" P201"
14344	2657	"D1"	0.185234244283324	"0.01 BPS-MPE"	"BPS-MPE"
14525	3677	"D10"	0.253149741824441	"0.01  P201"	" P201"
13719	3415	"D11"	0.248924848749909	"MI"	"MI"
14361	2364	"D2"	0.164612492166284	"0.1 BPS-MPE"	"BPS-MPE"
14914	6617	"D3"	0.443677081936436	"1 BPS-MPE"	"BPS-MPE"
18875	11568	"D4"	0.61287417218543	"10 BPS-MPE"	"BPS-MPE"
20467	14914	"D5"	0.728685200566766	"20 BPS-MPE"	"BPS-MPE"
14856	5929	"D6"	0.399098007539041	"20  P201"	" P201"
15618	5800	"D7"	0.371366372134716	"10  P201"	" P201"
14486	9485	"D8"	0.654770122877261	"1  P201"	" P201"
13799	2343	"D9"	0.169794912674832	"0.1  P201"	" P201"
14036	8143	"E1"	0.580151040182388	"0.01 BPS-MAE"	"BPS-MAE"
14550	3862	"E10"	0.265429553264605	"0.01 D90"	"D90"
14132	2228	"E2"	0.157656382677611	"0.1 BPS-MAE"	"BPS-MAE"
15155	5147	"E3"	0.339623886506104	"1 BPS-MAE"	"BPS-MAE"
17451	11536	"E4"	0.66105094263939	"10 BPS-MAE"	"BPS-MAE"
11878	8367	"E6"	0.704411517090419	"20 D90"	"D90"
14224	8689	"E7"	0.610868953880765	"10 D90"	"D90"
14716	5635	"E8"	0.382916553411253	"1 D90"	"D90"
14204	9404	"E9"	0.662067023373698	"0.1 D90"	"D90"
13706	1727	"F1"	0.126003210272873	"0.01 BPS-MAE"	"BPS-MAE"
14548	5297	"F10"	0.364105031619467	"0.01 D90"	"D90"
13211	1435	"F2"	0.108621603209447	"0.1 BPS-MAE"	"BPS-MAE"
16850	12554	"F4"	0.745044510385757	"10 BPS-MAE"	"BPS-MAE"
13993	5729	"F5"	0.409418995211892	"20 BPS-MAE"	"BPS-MAE"
13518	9076	"F6"	0.671401094836514	"20 D90"	"D90"
14717	8193	"F7"	0.556703132431882	"10 D90"	"D90"
15042	6707	"F8"	0.445884855737269	"1 D90"	"D90"
14141	4108	"F9"	0.290502793296089	"0.1 D90"	"D90"
13935	2516	"G1"	0.180552565482598	"0.01 BPS-MAE"	"BPS-MAE"
14862	4834	"G10"	0.325259049925986	"0.01 D90"	"D90"
13965	2918	"G2"	0.208950948800573	"0.1 BPS-MAE"	"BPS-MAE"
15083	6956	"G3"	0.461181462573759	"1 BPS-MAE"	"BPS-MAE"
17170	11106	"G4"	0.646825859056494	"10 BPS-MAE"	"BPS-MAE"
15124	8027	"G5"	0.530745834435335	"20 BPS-MAE"	"BPS-MAE"
15711	6609	"G6"	0.420660683597479	"20 D90"	"D90"
15564	8714	"G7"	0.55988177846312	"10 D90"	"D90"
14200	4802	"G8"	0.338169014084507	"1 D90"	"D90"
13775	3684	"G9"	0.267441016333938	"0.1 D90"	"D90"
14342	5599	"H1"	0.390391856087017	"0.01 BPS-MAE"	"BPS-MAE"
16827	10110	"H10"	0.600820110536638	"0.01 D90"	"D90"
13848	10814	"H2"	0.780906990179087	"0.1 BPS-MAE"	"BPS-MAE"
15742	11889	"H3"	0.755240757210011	"1 BPS-MAE"	"BPS-MAE"
17494	12561	"H4"	0.718017606036355	"10 BPS-MAE"	"BPS-MAE"
15695	9621	"H6"	0.612997769990443	"20 D90"	"D90"
14934	9557	"H7"	0.639949109414758	"10 D90"	"D90"
14320	3491	"H8"	0.243784916201117	"1 D90"	"D90"
14178	5304	"H9"	0.37410071942446	"0.1 D90"	"D90"
