"Number of Cells"	"Cells with Lipid"	"WellName"	"% Cells with Lipid"	"chemical"	"chemicalgroup"
11199	1711	"A1"	0.152781498348067	"0.01 BPS-MPE"	"BPS-MPE"
11678	2422	"A10"	0.207398527145059	"0.01  P201"	" P201"
12002	3554	"A11"	0.296117313781037	"MI"	"MI"
11720	1981	"A2"	0.169027303754266	"0.1 BPS-MPE"	"BPS-MPE"
13703	6841	"A3"	0.499233744435525	"1 BPS-MPE"	"BPS-MPE"
15460	8978	"A4"	0.580724450194049	"10 BPS-MPE"	"BPS-MPE"
16481	9831	"A5"	0.596505066440143	"20 BPS-MPE"	"BPS-MPE"
11014	2629	"A6"	0.238696204830216	"20  P201"	" P201"
11775	2817	"A7"	0.239235668789809	"10  P201"	" P201"
11870	2139	"A8"	0.180202190395956	"1  P201"	" P201"
11397	1767	"A9"	0.155040800210582	"0.1  P201"	" P201"
11651	4296	"B1"	0.368723714702601	"0.01 BPS-MPE"	"BPS-MPE"
12160	1082	"B10"	0.0889802631578947	"0.01  P201"	" P201"
11803	2006	"B11"	0.169956790646446	"MI"	"MI"
11838	2747	"B2"	0.232049332657544	"0.1 BPS-MPE"	"BPS-MPE"
15638	8013	"B4"	0.512405678475508	"10 BPS-MPE"	"BPS-MPE"
17114	9559	"B5"	0.558548556737174	"20 BPS-MPE"	"BPS-MPE"
11990	2362	"B6"	0.196997497914929	"20  P201"	" P201"
11955	2049	"B7"	0.171392722710163	"10  P201"	" P201"
12646	2456	"B8"	0.194211608413728	"1  P201"	" P201"
11616	1625	"B9"	0.139893250688705	"0.1  P201"	" P201"
11460	1447	"C1"	0.126265270506108	"0.01 BPS-MPE"	"BPS-MPE"
11385	1250	"C10"	0.109793588054458	"0.01  P201"	" P201"
11512	1764	"C11"	0.153231410701876	"MI"	"MI"
11953	1278	"C2"	0.106918765163557	"0.1 BPS-MPE"	"BPS-MPE"
13596	5249	"C3"	0.386069432185937	"1 BPS-MPE"	"BPS-MPE"
15836	8238	"C4"	0.520207123010861	"10 BPS-MPE"	"BPS-MPE"
17103	9746	"C5"	0.569841548266386	"20 BPS-MPE"	"BPS-MPE"
12589	4473	"C6"	0.355310191436969	"20  P201"	" P201"
12324	1631	"C7"	0.132343395001623	"10  P201"	" P201"
11665	1467	"C8"	0.125760822974711	"1  P201"	" P201"
11328	1098	"C9"	0.0969279661016949	"0.1  P201"	" P201"
11384	981	"D1"	0.0861735769501054	"0.01 BPS-MPE"	"BPS-MPE"
10999	1587	"D10"	0.144285844167652	"0.01  P201"	" P201"
11671	1834	"D11"	0.157141633107703	"MI"	"MI"
11608	1347	"D2"	0.116040661612681	"0.1 BPS-MPE"	"BPS-MPE"
13271	4780	"D3"	0.360183859543365	"1 BPS-MPE"	"BPS-MPE"
15796	8129	"D4"	0.514623955431755	"10 BPS-MPE"	"BPS-MPE"
17134	8481	"D5"	0.494980740049025	"20 BPS-MPE"	"BPS-MPE"
11403	4053	"D6"	0.355432780847145	"20  P201"	" P201"
11811	2253	"D7"	0.190754381508763	"10  P201"	" P201"
11645	1333	"D8"	0.114469729497638	"1  P201"	" P201"
11215	883	"D9"	0.0787338386090058	"0.1  P201"	" P201"
10833	1262	"E1"	0.116495892181298	"0.01 BPS-MAE"	"BPS-MAE"
11557	923	"E10"	0.0798650168728909	"0.01 D90"	"D90"
11566	1345	"E2"	0.116289123292409	"0.1 BPS-MAE"	"BPS-MAE"
12304	3008	"E3"	0.244473342002601	"1 BPS-MAE"	"BPS-MAE"
13399	6725	"E4"	0.501903127099037	"10 BPS-MAE"	"BPS-MAE"
15343	6751	"E5"	0.440005214104152	"20 BPS-MAE"	"BPS-MAE"
12360	5341	"E6"	0.432119741100324	"20 D90"	"D90"
12256	2082	"E7"	0.169875979112272	"10 D90"	"D90"
11318	1084	"E8"	0.0957766389821523	"1 D90"	"D90"
11508	1389	"E9"	0.120698644421272	"0.1 D90"	"D90"
11069	594	"F1"	0.0536633842262174	"0.01 BPS-MAE"	"BPS-MAE"
11859	2755	"F10"	0.232313011215111	"0.01 D90"	"D90"
11807	1361	"F3"	0.115270602185144	"1 BPS-MAE"	"BPS-MAE"
13604	7339	"F4"	0.539473684210526	"10 BPS-MAE"	"BPS-MAE"
15384	4161	"F5"	0.270475819032761	"20 BPS-MAE"	"BPS-MAE"
12662	2808	"F6"	0.2217659137577	"20 D90"	"D90"
12313	2060	"F7"	0.167302850645659	"10 D90"	"D90"
12241	2081	"F8"	0.170002450780165	"1 D90"	"D90"
11396	1544	"F9"	0.135486135486135	"0.1 D90"	"D90"
11609	1376	"G1"	0.118528727711259	"0.01 BPS-MAE"	"BPS-MAE"
11873	1584	"G10"	0.133411943064095	"0.01 D90"	"D90"
11846	1461	"G2"	0.123332770555462	"0.1 BPS-MAE"	"BPS-MAE"
12315	2112	"G3"	0.171498172959805	"1 BPS-MAE"	"BPS-MAE"
13946	7225	"G4"	0.518069697404274	"10 BPS-MAE"	"BPS-MAE"
18311	3631	"G5"	0.198296106165693	"20 BPS-MAE"	"BPS-MAE"
12403	2806	"G6"	0.226235588164154	"20 D90"	"D90"
12898	1321	"G7"	0.102418979686773	"10 D90"	"D90"
12567	887	"G8"	0.0705816821834965	"1 D90"	"D90"
11489	1276	"G9"	0.111062755679345	"0.1 D90"	"D90"
11865	1749	"H1"	0.147408343868521	"0.01 BPS-MAE"	"BPS-MAE"
12139	3382	"H10"	0.278606145481506	"0.01 D90"	"D90"
11717	824	"H2"	0.0703251685585047	"0.1 BPS-MAE"	"BPS-MAE"
14404	2401	"H3"	0.166689808386559	"1 BPS-MAE"	"BPS-MAE"
14534	5633	"H4"	0.387573964497041	"10 BPS-MAE"	"BPS-MAE"
17059	5073	"H5"	0.297379682279149	"20 BPS-MAE"	"BPS-MAE"
12618	3853	"H6"	0.305357425899509	"20 D90"	"D90"
12360	4724	"H7"	0.382200647249191	"10 D90"	"D90"
12076	2915	"H8"	0.241387876780391	"1 D90"	"D90"
11460	1970	"H9"	0.171902268760908	"0.1 D90"	"D90"
