"chemical"	"chemicalgroup"	"average_percent_lipid"	"SEM"
"0.01  P201"	" P201"	0.259403568204216	0.0488174545403929
"0.01 BPS-MAE"	"BPS-MAE"	0.192619039343134	0.0464996856002903
"0.01 BPS-MPE"	"BPS-MPE"	0.238110141384683	0.0496471050428057
"0.01 D90"	"D90"	0.305713260636852	0.0399580484905547
"0.1  P201"	" P201"	0.182671525849188	0.0255978534528421
"0.1 BPS-MAE"	"BPS-MAE"	0.190677315976097	0.060218896457026
"0.1 BPS-MPE"	"BPS-MPE"	0.151364898345532	0.0255605158131368
"0.1 D90"	"D90"	0.272881046359194	0.0451165272716032
"1  P201"	" P201"	0.207565476633314	0.0484776271074895
"1 BPS-MAE"	"BPS-MAE"	0.335002060633963	0.05650608119862
"1 BPS-MPE"	"BPS-MPE"	0.41822166831262	0.0297612660090621
"1 D90"	"D90"	0.208533742953227	0.0354343235629987
"10  P201"	" P201"	0.225507474313429	0.0377504244841113
"10 BPS-MAE"	"BPS-MAE"	0.545990044471334	0.0343110809209019
"10 BPS-MPE"	"BPS-MPE"	0.578929411815204	0.0316147949143509
"10 D90"	"D90"	0.353900589795692	0.0611954202302497
"20  P201"	" P201"	0.342027320549356	0.047853073329905
"20 BPS-MAE"	"BPS-MAE"	0.440483649944861	0.0481666571313118
"20 BPS-MPE"	"BPS-MPE"	0.631039549446913	0.0292054908841589
"20 D90"	"D90"	0.388414683661875	0.0561350176652916
"MI"	"MI"	0.193966710626879	0.027136009147099
